,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR_price,Country,City,Engine Type,Condition,age_group,Price_groub,Views Performance
892,Pilothouse,Quicksilver power boats,"Used boat,Unleaded",2015,7.39,2.79,PVC,48,44900.0,France," LE CAP D'AGDE, LE CAP D'AGDE",Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
894,Cabin Boat,Viper power boats,"Used boat,Unleaded",2014,6.65,2.3,GRP,1970,49470.0,Switzerland, Horn ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
895,Cabin Boat,Drago Boats power boats,"new boat from stock,Unleaded",0,7.05,2.38,GRP,80,44839.0,Germany, CUXHAVEN,Unleaded,new,,Medium (44290-250000),Average (70-170)
897,Motor Yacht,Sessa power boats,"Used boat,Unleaded",2005,9.5,3.0,GRP,102,44800.0,Spain, Mallorca ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
898,Sport Boat,Cranchi power boats,"Used boat,Diesel",2007,7.44,2.94,PVC,96,45000.0,Other," Parchal, Portugal",Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
899,Cabin Boat,ManÃ² power boats,"Used boat,Unleaded",2007,8.04,2.95,GRP,65,45000.0,Italy," Lombardy, Soiano del Lago",Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
900,Classic,Riva power boats,"Used boat,Unleaded",1962,6.1,1.98,Wood,245,45000.0,Italy, Lago di Como,Unleaded,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
901,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2003,8.23,3.1,PVC,78,45000.0,France," Marseille, France",Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
902,Flybridge,Doqueve power boats,"Used boat,Diesel",1996,11.25,3.6,PVC,35,45000.0,Spain," Torrevieja, Espagne",Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Low (less than 70)
904,Pilothouse,Rodman power boats,"Used boat,Diesel",2005,8.79,3.08,GRP,90,45000.0,France," LOCTUDY, France",Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
905,Bowrider,Cobalt power boats,"Used boat,Unleaded",2015,8.12,2.59,GRP,118,45000.0,Spain, Mallorca ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
906,Motor Yacht,Sessa power boats,"Used boat,Unleaded",2014,8.58,2.69,GRP,131,45000.0,Spain, Mallorca ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
907,Motor Yacht,Altena power boats,"Used boat,Diesel",1984,11.4,3.4,Steel,124,45000.0,Germany, D¼sseldorf,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
908,Deck Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2019,6.4,2.5,PVC,47,45000.0,France," saint jean cap ferrat, France",Unleaded,Used,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
910,Passenger boat,Invictus power boats,new boat from stock,2019,7.25,2.5,GRP,170,45000.0,Switzerland, Lake Geneva ,,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
911,Pilothouse,Ocqueteau power boats,"Used boat,Diesel",2015,6.92,2.65,PVC,54,45000.0,France," LA GRANDE MOTTE, France",Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
912,Wakeboard/Wakesurf,Axis power boats,"Used boat,Unleaded",2015,6.1,2.5,Carbon Fiber,216,45000.0,Other, Warszawa,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
913,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,6.86,2.48,PVC,38,45000.0,Other,None,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
914,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",0,8.9,2.96,GRP,263,49980.0,Switzerland, Neuenburgersee ,Unleaded,Used,,Medium (44290-250000),Good (more than 170)
916,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,5.75,2.54,GRP,202,49878.0,Switzerland, Lake Geneva ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Good (more than 170)
917,Motor Yacht,Doral power boats,"Used boat,Unleaded",2000,7.66,2.61,GRP,575,49470.0,Switzerland, Lake of Zurich ,Unleaded,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
918,Classic,Chris Craft power boats,"Used boat,Unleaded",2006,6.0,2.45,GRP,503,49470.0,Switzerland, Lake of Zurich ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
919,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,6.45,2.5,GRP,123,49765.8,Switzerland, Luganersee ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
920,Cabin Boat,Marex power boats,Used boat,1988,10.0,3.27,GRP,159,43550.0,Denmark, S¸nderjylland,,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
921,Motor Yacht,Bayliner power boats,"Used boat,Unleaded",2000,9.6,3.35,GRP,347,43550.0,Denmark, S¼dd¤nemark ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
922,Motor Yacht,Cranchi power boats,"Used boat,Unleaded",1994,9.92,3.1,GRP,119,45000.0,Italy, Lago Di Garda Gardasee,Unleaded,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
923,Motor Yacht,Fairline power boats,Used boat,1996,9.86,3.24,GRP,281,45000.0,Croatia(Hrvatska), onbekend,,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
924,Flybridge,Regal power boats,"Used boat,Unleaded",2009,8.0,2.0,GRP,179,45000.0,Croatia(Hrvatska), Istra,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
925,Motor Yacht,Regal power boats,"Used boat,Diesel",1990,11.0,4.0,GRP,162,45000.0,Croatia(Hrvatska), Istra,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
926,Motor Yacht,Cranchi power boats,"Used boat,Unleaded",1995,9.3,2.7,GRP,100,45000.0,Italy," Calabria, Lago",Unleaded,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
927,Sport Boat,Riva power boats,"Used boat,Unleaded",1982,9.5,2.71,GRP,270,45000.0,Italy," Calabria, Lago",Unleaded,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
