,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR_price,Country,City,Engine Type,Condition,age_group,Price_groub,Views Performance
0,Motor Yacht,Rigiflex power boats,new boat from stock,2017,4.0,1.9,GRP,226,3403.7400000000002,Switzerland, Lake Geneva ,,new,Old (built between 2000-2017),Cheap (less than 44290),Good (more than 170)
1,Center console boat,Terhi power boats,new boat from stock,2020,4.0,1.5,Thermoplastic,75,3490.0,Germany, Bnningstedt,,new,Modern (built after 2018),Cheap (less than 44290),Average (70-170)
2,Sport Boat,Marine power boats,new boat from stock,0,3.69,1.42,Aluminium,124,3845.4,Switzerland, Lake of Zurich ,,new,,Cheap (less than 44290),Average (70-170)
3,Sport Boat,Pioner power boats,new boat from stock,2020,3.0,1.0,GRP,64,3367.0,Denmark, Svendborg,,new,Modern (built after 2018),Cheap (less than 44290),Low (less than 70)
4,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,58,3399.0,Germany, Bayern ,,new,Modern (built after 2018),Cheap (less than 44290),Low (less than 70)
5,Sport Boat,Linder power boats,new boat from stock,0,4.03,1.56,Aluminium,132,3723.0,Switzerland, Lake Constance ,,new,,Cheap (less than 44290),Average (70-170)
8,Fishing Boat,Crescent power boats,new boat from stock,2019,3.64,1.37,GRP,45,3333.0,Germany, Bayern ,,new,Modern (built after 2018),Cheap (less than 44290),Low (less than 70)
9,Pontoon Boat,Whaly power boats,new boat from stock,2018,4.35,1.73,GRP,180,3300.0,Italy, Dormelletto ,,new,Old (built between 2000-2017),Cheap (less than 44290),Good (more than 170)
10,Fishing Boat,Terhi power boats,"Used boat,Electric",1987,4.35,1.75,GRP,239,3570.0,Switzerland, Seengen,Electric,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
11,Fishing Boat,Marine power boats,new boat from stock,0,4.13,1.41,Aluminium,145,3549.6,Switzerland, Lake of Zurich ,,new,,Cheap (less than 44290),Average (70-170)
12,Sport Boat,GS Nautica power boats,Used boat,2004,4.7,2.0,GRP,69,3500.0,Italy, Lake Garda ,,Used,Old (built between 2000-2017),Cheap (less than 44290),Low (less than 70)
13,Runabout,Kimple power boats,new boat from stock,2020,4.4,1.65,Aluminium,113,4692.0,Switzerland, Zugersee ,,new,Modern (built after 2018),Cheap (less than 44290),Average (70-170)
14,Fishing Boat,Italmarine power boats,"Used boat,Unleaded",1997,3.72,1.33,Aluminium,413,4590.0,Switzerland, Vierwaldst¤ttersee ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
15,Deck Boat,Buster power boats,"new boat from stock,Unleaded",0,3.88,1.49,Aluminium,263,4488.0,Switzerland, Safenwil,Unleaded,new,,Cheap (less than 44290),Good (more than 170)
16,Sport Boat,Linder power boats,new boat from stock,0,4.31,1.64,Aluminium,462,4467.6,Switzerland, Lake Constance ,,new,,Cheap (less than 44290),Good (more than 170)
18,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",1981,8.0,2.84,PVC,265,4000.0,France," MARTGUES, MARTIGUES",Diesel,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
20,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,69,3999.0,Germany, Bayern ,,new,Modern (built after 2018),Cheap (less than 44290),Low (less than 70)
21,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",0,3.78,1.71,GRP,198,4352.34,Switzerland, Luganersee ,Unleaded,new,,Cheap (less than 44290),Good (more than 170)
22,Sport Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.31,1.64,Aluminium,90,3930.0,Germany, Nordrhein-Westfalen ,Unleaded,new,Modern (built after 2018),Cheap (less than 44290),Average (70-170)
23,Sport Boat,Kammin power boats,"Used boat,Unleaded",1979,5.6,2.1,GRP,98,3900.0,Germany," BOOTSSERVICE ENK IN TREIS KARDEN, BOOTSSERVICE ENK",Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
25,Fishing Boat,Bucher power boats,"Used boat,Unleaded",1998,5.7,1.55,GRP,160,4284.0,Switzerland, Diessenhofen,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
26,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",0,4.0,1.5,GRP,295,4284.0,Switzerland, Lake of Zurich ,Unleaded,Used,,Cheap (less than 44290),Good (more than 170)
27,Fishing Boat,Linder power boats,new boat from stock,2018,3.55,1.46,Aluminium,130,4110.6,Switzerland, Vierwaldst¤ttersee ,,new,Old (built between 2000-2017),Cheap (less than 44290),Average (70-170)
29,Fishing Boat,Terhi power boats,new boat from stock,2020,4.01,1.5,Thermoplastic,512,4054.5,Switzerland, Horgen,,new,Modern (built after 2018),Cheap (less than 44290),Good (more than 170)
30,Sport Boat,MÃ¤ndli power boats,Used boat,1996,4.84,1.58,GRP,202,4029.0,Switzerland, Lake of Zurich ,,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
32,Sport Boat,Pioner power boats,new boat on order,0,3.81,1.65,GRP,105,3967.8,Switzerland, Safenwil,,new,,Cheap (less than 44290),Average (70-170)
33,Sport Boat,Linder power boats,new boat from stock,0,3.55,1.46,Aluminium,120,3927.0,Switzerland, Lake Constance ,,new,,Cheap (less than 44290),Average (70-170)
34,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",1996,4.41,1.71,Aluminium,255,3876.0,Switzerland, Luganersee ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
35,Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,6.2,2.45,GRP,1804,3876.0,Switzerland, Walensee ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
36,Fishing Boat,Hensa  power boats,"Used boat,Unleaded",1974,5.4,1.67,Plastic,849,3876.0,Switzerland, Sihlsee ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
37,Sport Boat,Pioner power boats,new boat on order,0,3.93,1.55,GRP,144,3865.8,Switzerland, Safenwil,,new,,Cheap (less than 44290),Average (70-170)
38,Center console boat,Ibis power boats,"Used boat,Unleaded",1983,4.4,1.5,GRP,133,3500.0,Germany, Verkaufshafen Brandenburg-Plaue,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
39,Sport Boat,Rio power boats,"Used boat,Unleaded",1991,4.0,1.62,GRP,98,3500.0,France," DIENVILLE, DIENVILLE",Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
40,Cabin Boat,Jouandoudet power boats,"Used boat,Unleaded",1992,4.36,1.74,GRP,393,3500.0,Other,None,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
41,Working Boat,Buster power boats,new boat from stock,2019,3.88,1.49,GRP,54,6048.9,UnitedKingdom," Burton Waters, Burton Waters",,new,Modern (built after 2018),Cheap (less than 44290),Low (less than 70)
43,Sport Boat,Corsiva power boats,new boat from stock,2018,5.2,2.2,GRP,186,5500.0,Germany, Berlin ,,new,Old (built between 2000-2017),Cheap (less than 44290),Good (more than 170)
44,Center console boat,Saver power boats,"Used boat,Unleaded",1997,4.4,1.78,PVC,118,5500.0,Spain," Cabo de Palos, Espagne",Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
45,Sport Boat,Ilver power boats,Used boat,1961,5.5,2.06,GRP,74,5500.0,Italy, emilia,,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
46,Sport Boat,Skibsplast power boats,Used boat,1980,5.85,2.23,GRP,543,6018.0,Switzerland, Faoug ,,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
47,Sport Boat,Allegra power boats,new boat from stock,2018,4.3,1.75,GRP,57,5450.0,Italy, Lake Garda ,,new,Old (built between 2000-2017),Cheap (less than 44290),Low (less than 70)
48,Sport Boat,Marine power boats,new boat from stock,0,4.45,1.67,Aluminium,219,5967.0,Switzerland, Lake of Zurich ,,new,,Cheap (less than 44290),Good (more than 170)
49,Fishing Boat,Linder power boats,new boat from stock,2018,4.01,1.64,Aluminium,67,5399.0,Germany, Bayern ,,new,Old (built between 2000-2017),Cheap (less than 44290),Low (less than 70)
53,Fishing Boat,Viking power boats,new boat from stock,2020,4.2,1.85,Aluminium,141,5200.0,Germany, Erftstadt,,new,Modern (built after 2018),Cheap (less than 44290),Average (70-170)
54,Sport Boat,Staempfli power boats,Used boat,1968,4.05,1.58,GRP,278,5610.0,Switzerland, Neuenburgersee ,,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
55,Runabout,Kimple power boats,new boat from stock,2020,4.0,1.65,Aluminium,99,5610.0,Switzerland, Zugersee ,,new,Modern (built after 2018),Cheap (less than 44290),Average (70-170)
56,Sport Boat,Linder power boats,new boat from stock,0,4.51,1.75,Aluminium,195,7435.8,Switzerland, Lake Constance ,,new,,Cheap (less than 44290),Good (more than 170)
57,Sport Boat,Fiberline power boats,"Used boat,Unleaded",1987,3.95,1.55,Plastic,1201,7344.0,Switzerland, Lake of Zurich ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
58,Fishing Boat,Uttern power boats,Used boat,2007,5.0,2.0,GRP,204,6435.0,Denmark, Svendborg,,Used,Old (built between 2000-2017),Cheap (less than 44290),Good (more than 170)
59,Runabout,Schweizer power boats,"Used boat,Unleaded",1972,5.5,1.9,GRP,277,6590.0,Germany, Nordrhein-Westfalen ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
60,Cabin Boat,Cranchi power boats,"Used boat,Diesel",1990,6.28,2.27,GRP,85,6500.0,Italy, Venezia,Diesel,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
61,Deck Boat,Corsiva power boats,new boat from stock,2018,5.7,2.2,GRP,122,6500.0,Germany, Berlin ,,new,Old (built between 2000-2017),Cheap (less than 44290),Average (70-170)
62,Pontoon Boat,Brig power boats,"Used boat,Unleaded",2010,5.0,2.15,GRP,183,6500.0,Italy, 41100,Unleaded,Used,Old (built between 2000-2017),Cheap (less than 44290),Good (more than 170)
63,Cabin Boat,Dawncraft power boats,"Used boat,Unleaded",1968,8.0,2.1,GRP,289,6500.0,Germany, Berlin ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
64,Sport Boat,Invader power boats,"Used boat,Unleaded",1991,4.5,2.1,GRP,324,6500.0,Other, Werfenweng,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
66,Cabin Boat,Hille power boats,Unleaded,1994,4.75,1.86,GRP,126,6490.0,Germany, Verkaufshafen Brandenburg-Plaue,,,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
67,Sport Boat,Bienchen  power boats,Used boat,2018,3.2,1.5,GRP,238,7140.0,Switzerland, Murtensee ,,Used,Old (built between 2000-2017),Cheap (less than 44290),Good (more than 170)
68,Cabin Boat,Fjord power boats,"Used boat,Unleaded",1980,7.26,2.9,GRP,866,7140.0,Switzerland, Lake Geneva ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
69,Bowrider,Ecofiber power boats,"Used boat,Unleaded",2000,4.15,1.65,GRP,574,7140.0,Switzerland, Neuenburgersee ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
70,Sport Boat,Pollini power boats,new boat from stock,2019,5.2,2.06,GRP,119,7800.0,Italy, Lake Garda ,,new,Modern (built after 2018),Cheap (less than 44290),Average (70-170)
71,Sport Boat,Italmarine power boats,"Used boat,Unleaded",1986,4.28,1.65,Aluminium,205,8466.0,Switzerland, Lake Constance ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
73,Pilothouse,Lambro power boats,Used boat,0,6.16,2.48,GRP,463,8364.0,Switzerland, Neuenburgersee ,,Used,,Cheap (less than 44290),Good (more than 170)
74,Deck Boat,Elan power boats,"Used boat,Unleaded",1985,4.5,2.1,GRP,200,7640.0,Germany, BUDENHEIM/RHEIN,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
75,Bowrider,Terhi power boats,"new boat from stock,Unleaded",2020,4.45,1.85,Thermoplastic,462,8318.1,Switzerland, Horgen,Unleaded,new,Modern (built after 2018),Cheap (less than 44290),Good (more than 170)
76,Center console boat,Fletcher power boats,"Used boat,Unleaded",1996,4.5,1.7,GRP,201,7500.0,Germany, Landshut,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
78,Sport Boat,Sessa power boats,"Used boat,Unleaded",1997,5.8,2.2,GRP,336,7500.0,Italy, Lombardia - Trentino Alto Adige ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
79,Sport Boat,Fjord power boats,"Used boat,Unleaded",1971,5.7,2.2,GRP,137,7500.0,Other,None,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
80,Sport Boat,Ultramar power boats,"Used boat,Unleaded",1994,5.5,2.45,PVC,208,7500.0,France," Saint-Quay-Portrieux, France",Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
81,Cabin Boat,Yachting France power boats,"Used boat,Unleaded",1981,6.4,2.54,GRP,189,7500.0,France, C´te d'Azur ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
82,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2005,5.23,2.15,PVC,131,7500.0,France," Saint Quay Portrieux, France",Unleaded,Used,Old (built between 2000-2017),Cheap (less than 44290),Average (70-170)
83,Sport Boat,Volvo power boats,"Used boat,Unleaded",1995,5.8,2.28,GRP,490,7500.0,Germany, Baden-W¼rttemberg ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
85,Sport Boat,Fiberline power boats,new boat from stock,2019,4.4,1.65,GRP,96,8790.0,Germany, Bayern ,,new,Modern (built after 2018),Cheap (less than 44290),Average (70-170)
86,Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1976,5.85,2.3,GRP,280,9588.0,Switzerland, Lake Constance ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
87,Sport Boat,Mingolla power boats,Used boat,2019,5.0,2.1,GRP,146,8600.0,Italy, Lake Garda ,,Used,Modern (built after 2018),Cheap (less than 44290),Average (70-170)
88,Sport Boat,Allegra power boats,new boat from stock,2018,5.3,2.2,GRP,166,8600.0,Italy, Lake Garda ,,new,Old (built between 2000-2017),Cheap (less than 44290),Average (70-170)
89,Sport Boat,Karel power boats,"new boat on order,Unleaded",2020,4.8,1.9,GRP,873,9450.3,Switzerland, Lake of Zurich ,Unleaded,new,Modern (built after 2018),Cheap (less than 44290),Good (more than 170)
90,Sport Boat,Beekmann power boats,"Used boat,Unleaded",1990,5.18,2.18,GRP,258,9384.0,Switzerland, 8881 Tscherlach,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
91,Deck Boat,Salmeri Boote power boats,new boat from stock,2018,5.53,2.18,GRP,221,8500.0,Italy, Lago,,new,Old (built between 2000-2017),Cheap (less than 44290),Good (more than 170)
93,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2001,5.0,1.98,GRP,96,8500.0,France," HENDAYE, HENDAYE",Unleaded,Used,Old (built between 2000-2017),Cheap (less than 44290),Average (70-170)
94,Center console boat,Allegra power boats,Used boat,2018,5.3,2.2,GRP,165,8500.0,Italy, Lombardia - Trentino Alto Adige ,,Used,Old (built between 2000-2017),Cheap (less than 44290),Average (70-170)
95,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1994,5.74,2.31,PVC,78,8500.0,France," Chalon-sur-Sa´ne, France",Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
96,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2006,5.8,2.5,PVC,116,8500.0,France, 29200 BREST,Unleaded,Used,Old (built between 2000-2017),Cheap (less than 44290),Average (70-170)
97,Sport Boat,Hellwig power boats,"Used boat,Unleaded",2016,3.1,1.4,GRP,250,8500.0,Germany, Kelheim,Unleaded,Used,Old (built between 2000-2017),Cheap (less than 44290),Good (more than 170)
98,Center console boat,Janmor power boats,"Used boat,Unleaded",2005,5.3,2.33,GRP,173,8500.0,France," GRANVILLE, France",Unleaded,Used,Old (built between 2000-2017),Cheap (less than 44290),Good (more than 170)
101,Trawler,Gouwerok power boats,Used boat,1980,8.5,3.0,Steel,183,9750.0,Netherlands, Sneek,,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
102,Fishing Boat,Marino CN power boats,"Used boat,Unleaded",2011,4.5,1.95,GRP,465,10710.0,Switzerland, Lago Maggiore ,Unleaded,Used,Old (built between 2000-2017),Cheap (less than 44290),Good (more than 170)
103,Fishing Boat,Orkney power boats,Used boat,2016,10.28,3.33,GRP,393,10710.0,Switzerland, Einigen,,Used,Old (built between 2000-2017),Cheap (less than 44290),Good (more than 170)
104,Sport Boat,Marine power boats,new boat from stock,0,4.45,1.67,Aluminium,162,10659.0,Switzerland, Lake of Zurich ,,new,,Cheap (less than 44290),Average (70-170)
106,Sport Boat,Draco power boats,"Used boat,Unleaded",1984,6.0,2.3,GRP,418,10608.0,Switzerland, Diessenhofen ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
107,Cabin Boat,Crescent power boats,Unleaded,1992,5.65,2.2,GRP,185,9599.0,Germany, Verkaufshafen Brandenburg-Plaue,,,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
108,Sport Boat,Sting power boats,new boat from stock,2016,4.88,2.03,GRP,64,9575.0,Germany, Grevenbroich,,new,Old (built between 2000-2017),Cheap (less than 44290),Low (less than 70)
109,Sport Boat,Linder power boats,new boat from stock,0,4.51,1.75,Aluminium,168,10557.0,Switzerland, Lake Constance ,,new,,Cheap (less than 44290),Average (70-170)
110,Motor Yacht,Moonday power boats,new boat from stock,2019,4.8,2.0,GRP,91,9553.0,Netherlands, Lemmer,,new,Modern (built after 2018),Cheap (less than 44290),Average (70-170)
111,Cabin Boat,Gouwerok power boats,Used boat,1964,8.4,2.85,Steel,138,9500.0,Netherlands, In verkoophaven,,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
112,Sport Boat,Trimarchi  power boats,"new boat from stock,Gas",2019,5.7,2.1,GRP,184,9500.0,Italy, Lombardia - Trentino Alto Adige ,Gas,new,Modern (built after 2018),Cheap (less than 44290),Good (more than 170)
113,Motor Yacht,Cox Marine power boats,"Used boat,Diesel",1985,6.8,2.5,GRP,162,9500.0,Germany, Brandenburg ,Diesel,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
115,Launch,Majoni power boats,Used boat,1998,3.99,1.74,GRP,96,9500.0,Spain, Balearic Islands,,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
116,Sport Boat,Supra power boats,"Used boat,Unleaded",1991,6.18,2.42,GRP,256,11220.0,Switzerland, Luganersee ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
117,Pontoon Boat,MÃ¤ndli power boats,Used boat,2006,7.0,1.9,Wood,230,11220.0,Switzerland, Beringen,,Used,Old (built between 2000-2017),Cheap (less than 44290),Good (more than 170)
118,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",2006,6.0,1.6,GRP,182,11220.0,Switzerland, Rhein,Unleaded,Used,Old (built between 2000-2017),Cheap (less than 44290),Good (more than 170)
119,Sport Boat,Buster power boats,new boat from stock,0,4.43,1.82,Aluminium,109,11209.800000000001,Switzerland, Safenwil,,new,,Cheap (less than 44290),Average (70-170)
120,Sport Boat,Italmar power boats,new boat from stock,2020,4.99,2.1,GRP,115,10115.0,Germany, Wesel,,new,Modern (built after 2018),Cheap (less than 44290),Average (70-170)
121,Runabout,Safter Marine power boats,new boat on order,2020,4.5,1.65,GRP,159,11118.0,Switzerland, Zugersee ,,new,Modern (built after 2018),Cheap (less than 44290),Average (70-170)
122,Sport Boat,Century power boats,"Used boat,Unleaded",1994,5.51,2.21,GRP,1057,11118.0,Switzerland, Bielersee ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
123,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1993,8.5,2.6,GRP,585,10000.0,Italy, Toscana ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
124,Sport Boat,Cigala & Bertinetti power boats,"Used boat,Unleaded",1979,7.25,2.37,GRP,185,10000.0,Other,None,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
125,Sport Boat,Allegra power boats,new boat from stock,2018,5.9,2.38,GRP,155,10000.0,Italy, Lake Garda ,,new,Old (built between 2000-2017),Cheap (less than 44290),Average (70-170)
127,Working Boat,Costruzioni Navali Srl power boats,"Used boat,Diesel",1975,12.0,3.0,Steel,182,10000.0,Italy, Lombardia - Trentino Alto Adige ,Diesel,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
128,Cabin Boat,Werner  power boats,"Used boat,Diesel",1940,12.5,2.5,Steel,900,10000.0,Germany, Brandenburg ,Diesel,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
129,Sport Boat,A. Mostes power boats,"Used boat,Unleaded",1991,7.15,2.36,GRP,783,10000.0,Italy, Lombardia - Trentino Alto Adige ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
130,Sport Boat,Bayliner power boats,Used boat,1995,7.02,2.52,PVC,175,10000.0,France," CAP D'AGDE, CAP D'AGDE",,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
131,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1995,7.02,2.52,PVC,207,10000.0,France," CAP D'AGDE, CAP D'AGDE",Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
132,Sport Boat,Bayliner power boats,Used boat,1988,6.3,2.34,GRP,284,11000.0,Italy, Friuli-Venezia Giulia,,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
133,Motor Yacht,Chrysler power boats,"Used boat,Unleaded",1974,4.9,2.1,GRP,125,11000.0,Germany, INFO DD-YACHTING,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
134,Cabin Boat,Stingray power boats,Used boat,1997,6.5,2.4,GRP,229,11000.0,Italy, Venezia,,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
135,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,7.03,2.54,PVC,226,11000.0,France," GRANVILLE, GRANVILLE",Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
136,Bowrider,Sunbird power boats,"Used boat,Unleaded",1971,5.79,2.2,Wood,87,11000.0,France," Dienville, Dienville",Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
137,Sport Boat,Mery Nautic power boats,"Used boat,Unleaded",1999,5.2,2.15,GRP,95,11000.0,France," Granville, Granville",Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
138,Cabin Boat,Glastron power boats,"Used boat,Unleaded",1998,6.13,2.39,GRP,175,11000.0,Other,None,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
139,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7.8,2.59,GRP,173,11000.0,Italy, Lake Garda ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
140,Motor Yacht,Rio power boats,"Used boat,Unleaded",2000,6.0,2.4,GRP,422,11000.0,Spain, Baleares ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
141,Cabin Boat,Birchwood power boats,"Used boat,Unleaded",1986,7.4,2.5,GRP,243,11000.0,Germany, Rhein ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
142,Sport Boat,Bayliner power boats,Used boat,1987,7.62,2.97,GRP,254,11000.0,Netherlands, In verkoophaven,,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
143,Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.07,2.12,GRP,150,10999.0,Germany, Kieler Bucht mit Fehmarn ,,new,Modern (built after 2018),Cheap (less than 44290),Average (70-170)
144,Sport Boat,BlueCraft power boats,"new boat from stock,Unleaded",2020,5.1,2.1,GRP,255,10999.0,Germany, Nordrhein-Westfalen ,Unleaded,new,Modern (built after 2018),Cheap (less than 44290),Good (more than 170)
145,Sport Boat,Remus power boats,new boat from stock,2020,5.2,2.22,GRP,179,10999.0,Germany, Nordrhein-Westfalen ,,new,Modern (built after 2018),Cheap (less than 44290),Good (more than 170)
146,Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2003,4.7,2.3,GRP,169,10990.0,Germany, Verkaufshafen Brandenburg-Plaue,Unleaded,Used,Old (built between 2000-2017),Cheap (less than 44290),Average (70-170)
147,Cabin Boat,Polar power boats,Diesel,1977,6.7,2.3,GRP,136,10990.0,Germany, Ostsee ,,,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
148,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",1993,7.75,2.75,PVC,141,12000.0,France," Mandelieu, France",Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Average (70-170)
149,Classic,Cranchi power boats,"Used boat,Unleaded",1990,6.43,2.25,GRP,442,12000.0,Other, Belgrade,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
151,Cabin Boat,Wiking power boats,"Used boat,Diesel",1979,6.5,2.2,GRP,327,12000.0,Germany, Berlin ,Diesel,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
152,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1988,6.16,2.49,Plastic,188,12000.0,Italy, Veneto ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
153,Cabin Boat,Fjord power boats,"Used boat,Diesel",1978,7.2,2.95,GRP,1101,12000.0,Germany, Mecklenburg-Vorpommern ,Diesel,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
156,Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2005,5.0,4.96,PVC,141,11990.0,France," Chalon-sur-Sa´ne, France",Unleaded,Used,Old (built between 2000-2017),Cheap (less than 44290),Average (70-170)
157,Sport Boat,Atlantic Marine power boats,new boat from stock,2019,5.3,2.39,GRP,284,13209.0,Switzerland, Kesswil ,,new,Modern (built after 2018),Cheap (less than 44290),Good (more than 170)
158,Sport Boat,Crescent power boats,new boat from stock,2019,4.0,1.0,GRP,166,11570.0,Denmark, Svendborg,,new,Modern (built after 2018),Cheap (less than 44290),Average (70-170)
160,Runabout,Safter Marine power boats,new boat from stock,2020,5.0,1.9,GRP,273,13158.0,Switzerland, Zugersee ,,new,Modern (built after 2018),Cheap (less than 44290),Good (more than 170)
161,Working Boat,Tinn-Silver power boats,"Display Model,Unleaded",2019,4.5,1.75,Aluminium,365,13158.0,Switzerland, Zugersee ,Unleaded,new,Modern (built after 2018),Cheap (less than 44290),Good (more than 170)
162,Runabout,Larson power boats,"Used boat,Unleaded",1994,5.8,2.47,GRP,333,14165.76,Switzerland, Zugersee ,Unleaded,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
164,Sport Boat,Four Winns power boats,Used boat,1994,6.4,2.36,GRP,235,12800.0,Other, Brugge,,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
165,Bowrider,Maxima power boats,new boat from stock,2020,4.9,1.9,GRP,180,12770.0,Germany, Lake Constance ,,new,Modern (built after 2018),Cheap (less than 44290),Good (more than 170)
